PesticideInRiver,RiverFlow,FishAbundance,Rainfall,ENSO,TreeCond,Irrigation,Drought,PesticideUse,CropYield,CropWater
*,121.275,*,*,*,*,*,*,*,5.4745,*
*,*,13.287,122.172,*,*,*,*,*,0.667945,266.004
*,*,180.687,*,*,*,*,*,*,*,*
*,25.3085,*,1.94658,*,Damaged,*,No,*,0.928197,*
*,*,*,*,Neutral,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,1.55756,*
*,*,*,*,Neutral,Damaged,*,*,*,*,*
*,*,190.01,*,*,Good,*,*,*,0.309225,18.6677
*,*,*,*,Neutral,*,No,*,*,*,*
*,*,*,388.555,La_Nina,*,*,No,*,*,*
*,*,16.4187,*,*,*,*,*,*,*,4.54927
5.3473,*,*,*,*,*,*,*,*,*,*
0.965588,*,42.9328,72.1087,*,*,*,*,*,0.597911,*
*,306.578,*,*,*,*,*,*,4.41893,*,*
*,*,94.4481,*,*,Good,*,*,4.97148,*,*
*,*,*,*,Neutral,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,9.15857,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,369.8
1.93337,*,*,116.657,*,Damaged,No,*,4.01803,*,*
*,*,*,*,*,*,*,No,*,*,*
0.742182,381.697,*,59.0146,La_Nina,*,*,*,*,*,*
*,131.389,*,193.179,*,*,No,*,*,*,*
*,*,*,110.962,*,*,*,*,*,*,*
*,*,49.8111,*,*,*,*,*,*,0.106346,*
*,*,*,*,*,*,*,*,*,*,*
0.312956,*,*,*,*,*,*,*,*,*,*
6.26768,*,*,*,*,*,*,No,*,*,*
*,2.73277,*,*,Neutral,*,*,Yes,*,*,*
*,89.1318,*,*,*,Dead,*,Yes,*,*,25.6481
*,*,*,*,*,*,*,*,4.87345,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,No,*,2.465,*
1.2895,*,*,*,*,*,*,*,*,*,*
0.0590915,*,33.5378,*,*,*,*,No,2.55794,*,*
*,*,*,*,Neutral,*,*,*,*,*,325.304
*,*,*,*,*,*,*,*,*,0.108682,*
*,*,*,*,*,Good,*,Yes,4.69368,*,22.0074
*,32.0427,29.3241,*,*,*,*,*,1.66243,*,*
7.42375,*,*,*,*,*,*,*,2.49377,*,*
*,*,*,32.5038,*,*,*,*,*,0.524384,28.0587
7.96992,*,*,*,*,Good,*,*,*,*,*
1.62847,*,31.4954,*,*,*,*,No,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,Good,*,*,*,*,*
6.10152,*,*,*,*,*,*,*,*,3.47847,*
2.13096,*,183.261,*,*,*,*,No,3.7826,*,*
*,356.574,*,*,Neutral,*,No,*,3.10992,*,*
*,6.53225,19.4729,*,*,*,*,*,*,*,*
*,*,*,113.245,*,Good,*,*,*,*,*
*,*,*,*,*,*,*,*,*,0.15721,*
*,*,*,*,Neutral,*,*,*,*,*,*
*,*,*,*,*,Dead,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,99.1184
*,*,*,*,El_Nino,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,19.257,*,139.247,*,*,*,*,2.24221,*,*
*,*,155.01,*,*,*,*,*,*,*,69.8428
*,*,*,*,*,*,*,*,3.28906,*,*
6.21229,*,*,*,Neutral,*,*,*,2.22229,5.56075,185.509
*,*,*,145.965,*,*,*,*,3.95664,9.5166,*
*,*,20.5846,*,*,*,Yes,*,*,*,*
*,*,*,154.398,Neutral,*,*,*,*,*,*
4.72478,*,67.2148,*,La_Nina,*,*,No,*,*,68.967
*,8.5763,*,*,*,*,*,*,*,*,*
*,*,*,*,La_Nina,*,*,*,3.03549,*,*
*,*,31.1935,*,*,Good,*,*,*,0.514449,44.9859
*,*,*,*,*,Good,Yes,*,*,0.662639,*
*,*,*,*,El_Nino,*,No,*,*,0.224374,*
*,2.25958,*,120.989,*,*,*,Yes,*,*,*
*,*,39.163,*,La_Nina,*,*,No,4.72495,5.27683,*
*,*,3.64667,*,*,*,*,*,*,*,*
*,*,*,134.583,Neutral,*,*,*,*,*,15.5047
*,*,*,*,*,*,*,*,3.96344,*,*
*,*,*,*,*,*,No,*,*,7.52675,*
*,*,*,*,*,*,*,*,*,0.210096,*
*,*,*,*,*,*,*,Yes,*,*,*
*,*,*,*,*,*,*,No,*,*,*
*,*,*,156.506,*,*,*,Yes,*,*,*
*,*,132.738,56.7228,Neutral,Good,*,*,*,*,*
*,*,*,128.787,*,*,*,Yes,*,*,*
*,*,*,*,*,*,*,Yes,*,*,*
*,*,*,*,*,Damaged,*,*,*,*,*
*,132.071,*,*,La_Nina,*,No,*,*,0.939462,*
*,*,*,56.8001,Neutral,Good,*,*,*,*,*
0.778681,*,*,*,Neutral,*,*,*,*,*,230.856
1.10159,*,*,*,*,*,*,*,1.21281,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,65.0611,*,*,*,*,No,*,*,*
*,*,*,*,*,*,*,*,*,3.8572,*
*,*,38.5056,*,*,Dead,*,*,*,*,*
*,*,*,124.613,*,*,*,*,*,*,*
*,*,123.528,*,*,*,*,*,*,*,*
*,*,*,169.1,*,*,No,*,*,*,*
*,*,*,*,Neutral,Damaged,*,*,*,*,151.19
8.69369,*,*,*,*,*,*,*,*,*,*
*,*,*,*,El_Nino,*,*,*,*,*,*
*,*,24.217,120.741,*,*,Yes,*,*,*,*
*,231.917,*,*,*,*,*,*,*,*,*
*,*,63.3988,*,*,*,Yes,*,*,6.2074,*
1.95201,74.7269,*,*,*,*,*,*,*,*,*
*,*,*,117.782,*,Good,No,No,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,La_Nina,*,*,*,*,*,*
1.31298,*,*,*,Neutral,*,*,No,*,*,*
*,*,*,*,*,*,Yes,No,*,*,*
*,326.365,*,87.0147,Neutral,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,10.8894,189.445,*,*,*,Yes,*,*,*
1.8426,*,*,*,*,*,*,*,4.03356,*,47.5542
1.50958,*,144.482,*,*,*,*,*,0.55722,*,*
*,*,71.8145,0.840026,*,*,*,*,*,1.44386,92.2346
*,*,27.6376,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,4.51671,1.70321,53.8955
1.79694,18.7196,12.6511,176.51,*,*,No,*,1.55786,*,*
*,*,*,*,Neutral,Damaged,*,*,*,*,*
*,*,*,*,Neutral,*,*,*,*,*,72.5829
*,*,*,*,*,*,*,*,*,*,242.451
*,*,*,*,*,*,*,*,*,*,*
*,*,0.0459137,*,*,*,*,*,*,*,*
*,*,*,*,*,Good,*,No,*,*,*
*,*,*,*,*,*,No,Yes,4.62421,*,*
*,396.769,16.5337,*,*,*,*,Yes,*,*,*
*,*,*,*,*,*,Yes,*,*,*,*
*,*,82.8741,*,*,*,*,*,*,*,*
*,*,*,70.3318,*,*,Yes,*,1.96658,*,216.145
*,*,*,*,*,Good,*,*,2.00587,*,14.4829
*,*,*,*,*,Good,*,*,*,*,*
*,*,*,*,*,Good,*,*,2.02902,*,*
*,13.2382,*,*,Neutral,*,*,*,*,6.27151,20.7043
*,*,93.771,166.82,*,*,*,*,*,*,*
*,*,*,*,*,*,No,*,*,*,*
*,*,*,*,*,*,*,No,*,*,*
*,*,*,*,*,*,*,*,*,*,*
2.82332,*,*,*,*,*,*,*,*,*,259.748
*,*,11.1407,*,*,*,No,*,*,*,*
*,*,*,78.6747,*,*,No,No,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,30.7754,*,*,*,*,*,*,*,*
*,*,*,*,*,*,No,*,*,*,*
*,*,*,65.7553,*,*,*,*,2.17742,*,*
1.43697,319.266,*,*,*,Damaged,*,No,*,*,*
*,*,*,23.5568,*,*,*,*,*,*,*
*,*,*,105.27,Neutral,Good,*,*,*,5.13292,357.786
1.90418,3.27748,*,*,*,*,*,*,*,*,*
0.227258,*,*,*,*,*,*,No,4.32839,*,*
*,*,*,*,*,*,*,*,*,1.94033,83.6157
*,*,*,*,La_Nina,*,No,*,*,*,*
*,*,*,72.7005,*,*,*,Yes,*,*,*
*,*,135.43,*,*,*,*,*,*,*,*
*,*,*,*,*,*,Yes,No,*,*,*
*,*,29.255,*,*,Good,*,*,*,*,*
*,*,*,120.728,*,Damaged,*,Yes,*,*,*
*,81.1778,*,*,*,*,*,*,2.55346,*,*
0.67592,*,35.2844,*,*,*,*,Yes,3.00215,*,*
*,333.294,*,*,*,*,*,Yes,*,*,*
*,*,*,*,Neutral,*,*,*,*,*,*
*,*,*,*,La_Nina,*,*,*,*,*,*
*,*,95.3982,*,El_Nino,*,*,No,3.56927,*,*
*,*,*,*,*,*,*,Yes,*,*,92.295
1.08007,59.6958,11.5481,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,No,*,*,*
9.58875,*,*,*,*,*,*,*,*,*,*
*,284.774,*,*,*,*,No,Yes,2.17528,*,*
*,*,*,*,*,*,*,*,4.07894,*,*
2.81248,*,60.3912,*,Neutral,*,No,*,*,*,*
*,*,*,*,*,*,Yes,No,0.212225,*,*
*,62.1211,*,*,Neutral,*,*,*,*,*,*
*,*,*,68.716,*,*,*,*,*,5.14072,306.341
*,*,*,*,El_Nino,*,*,*,*,*,*
*,*,*,130.405,*,*,*,No,3.13,*,*
*,*,*,*,*,*,*,No,*,*,*
*,*,*,50.7487,*,*,*,*,*,*,*
8.95574,*,*,*,*,Good,*,*,*,*,*
8.81827,7.81086,*,*,*,*,*,*,*,*,*
*,*,*,193.119,*,*,Yes,No,*,*,*
1.59449,*,*,163.186,*,*,*,*,*,9.30271,*
*,*,*,*,*,Good,*,No,*,2.52615,*
2.88373,*,*,*,La_Nina,*,*,*,3.33069,*,*
*,*,172.132,*,*,Good,*,*,*,*,*
1.45165,*,*,*,*,*,*,*,*,*,*
*,*,*,*,Neutral,*,*,*,*,*,*
*,*,*,*,*,Damaged,*,Yes,*,*,*
*,*,*,64.9247,*,Good,*,*,*,*,42.2945
*,*,*,*,La_Nina,*,*,*,*,*,*
*,*,*,65.8078,*,*,No,*,*,*,*
*,*,*,*,*,*,*,*,2.04452,*,*
*,95.901,*,25.6453,*,Damaged,*,*,3.00002,*,*
3.86923,*,*,*,*,*,*,*,*,*,*
*,212.647,*,167.84,Neutral,*,*,No,*,*,190.662
*,*,*,*,*,*,*,Yes,2.08769,*,*
*,*,175.577,*,*,*,*,No,0.70407,*,*
*,*,*,*,*,*,*,*,*,*,*
*,330.036,65.0115,*,*,*,*,No,*,*,*
*,*,*,*,*,*,*,*,*,0.49566,*
9.52905,*,*,*,*,*,No,*,*,0.620224,*
*,*,*,363.449,*,*,*,*,*,*,221.951
*,*,79.3662,*,*,*,*,*,*,*,*
7.86564,*,*,75.4729,*,*,*,*,3.70814,*,*
*,344.745,*,*,*,*,*,*,*,*,*
3.10442,*,*,*,*,Damaged,No,No,*,*,*
*,172.17,*,*,*,*,No,*,*,1.53287,*
*,*,8.38626,*,*,*,*,*,*,*,21.6844
*,46.7199,*,*,*,*,Yes,*,4.55062,*,*
*,67.0903,*,*,El_Nino,Dead,*,*,*,0.41726,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,0.399337,*
*,*,*,*,*,*,*,*,*,*,*
*,328.522,*,*,*,*,*,*,*,*,314.072
0.544396,*,*,90.0492,*,*,No,*,*,*,*
*,*,*,15.3259,*,*,*,*,*,6.00912,*
*,*,*,*,Neutral,*,*,*,*,*,81.8157
*,*,140.208,*,*,Good,*,*,*,*,*
*,*,46.858,50.1104,*,*,No,Yes,*,*,*
9.35238,28.4135,*,*,*,*,*,*,*,*,*
*,86.0452,*,317.702,*,*,*,*,*,*,*
*,*,*,*,*,Good,Yes,*,*,*,*
*,*,*,*,Neutral,*,Yes,No,*,4.64613,125.116
*,*,173.302,167.471,*,*,*,No,*,*,382.968
*,*,*,*,*,*,Yes,*,3.40043,0.820944,*
6.20515,*,*,*,Neutral,*,*,Yes,*,*,*
*,71.2576,39.7028,31.5426,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,4.26612,8.75562,*
*,*,*,*,*,*,No,*,*,*,231.017
*,*,21.6954,*,*,*,No,*,*,*,*
*,*,*,*,*,*,No,No,*,*,239.863
*,*,*,*,*,*,Yes,*,*,*,*
*,*,*,*,*,*,*,No,4.85458,*,*
*,*,29.4903,*,*,*,*,No,*,0.2721,359.098
2.79717,*,*,*,*,*,*,*,*,*,95.4614
*,*,69.7833,*,*,*,No,Yes,*,*,42.4842
*,*,*,*,Neutral,*,*,No,*,*,*
*,*,*,*,*,*,*,*,*,7.75145,*
*,58.3814,*,*,*,*,*,*,*,0.40638,*
7.75071,*,52.5948,*,*,*,*,*,*,*,*
*,*,21.3983,*,*,Damaged,*,*,*,0.818051,34.6474
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,El_Nino,*,Yes,No,*,*,*
*,*,*,*,*,Good,*,*,*,1.13337,*
*,*,109.291,*,*,*,*,*,*,*,*
3.87025,*,*,*,*,*,*,*,*,*,288.066
7.61108,*,51.5356,*,*,*,*,*,*,3.41022,167.343
*,*,*,*,*,Good,Yes,*,*,*,70.8865
*,*,*,*,*,*,*,*,2.11443,0.498933,*
*,*,*,*,La_Nina,*,*,No,*,*,*
8.34392,*,*,*,*,*,*,*,*,*,95.9278
*,*,*,146.026,*,*,*,*,4.4123,*,*
*,*,*,182.407,*,Good,*,*,*,4.181,*
*,*,69.7234,133.148,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,Damaged,*,*,*,*,*
*,*,*,*,*,*,No,*,*,*,*
*,*,*,*,*,*,*,*,*,*,99.7492
4.67401,370.793,*,*,La_Nina,Good,*,*,*,6.78536,*
*,8.2199,49.8703,*,*,*,*,*,*,*,*
*,61.7839,*,*,*,*,*,No,*,1.54026,83.8349
8.08435,*,*,*,Neutral,*,*,*,*,*,47.2076
*,*,*,*,Neutral,*,*,*,3.07996,1.62034,*
*,*,*,*,*,*,*,No,*,*,13.8976
*,*,113.513,*,Neutral,*,*,*,*,*,*
1.55456,*,1.42761,*,*,*,Yes,*,2.0991,1.03036,*
*,*,*,97.1618,*,*,*,*,*,1.69724,*
1.00584,81.7468,*,*,*,*,*,*,*,*,*
5.57032,258.702,27.664,*,*,*,*,*,*,1.49692,*
*,*,71.6073,*,Neutral,*,*,*,*,9.45994,*
*,122.426,*,*,*,*,Yes,*,*,4.90152,*
*,394.558,*,183.711,*,*,*,*,*,*,*
*,*,*,*,*,*,No,*,*,0.394296,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,No,3.73409,*,*
*,*,*,*,*,*,Yes,*,*,*,*
*,*,*,*,*,*,Yes,*,*,*,*
*,*,64.8066,*,Neutral,*,No,*,*,*,*
4.06185,112.358,*,129.523,Neutral,*,Yes,*,*,*,*
*,91.7191,*,*,*,Damaged,*,*,*,*,*
*,*,*,*,*,*,*,No,*,*,*
*,*,*,*,*,*,Yes,*,*,*,*
*,*,*,85.8236,La_Nina,*,*,*,3.03819,*,*
*,34.7812,*,*,*,Good,*,*,*,*,*
*,*,*,*,*,*,*,Yes,4.53185,*,*
*,*,*,*,El_Nino,*,Yes,*,*,*,*
*,*,*,*,*,*,No,No,*,*,*
9.20229,*,*,*,*,*,*,No,*,*,*
*,*,*,*,*,*,*,*,1.14759,1.90354,*
3.37604,*,*,*,*,Good,*,*,*,*,*
*,*,*,325.51,*,*,No,*,*,*,68.6769
*,*,*,*,*,*,*,*,4.6927,*,*
*,*,*,*,*,*,No,*,*,*,*
1.79166,*,*,*,*,Dead,*,*,*,0.868595,*
*,*,*,128.906,*,*,*,*,*,*,*
*,*,*,*,*,*,*,No,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,23.0867,*,*,Neutral,*,*,*,*,*,86.3244
6.88337,*,*,*,*,*,*,*,*,4.68631,*
*,65.5657,*,*,*,*,*,*,*,*,31.4098
*,*,18.1849,*,*,Good,*,*,*,4.9643,*
*,67.3659,*,*,*,*,*,No,4.68208,*,*
*,75.7556,*,*,*,*,*,*,*,*,*
*,*,*,*,Neutral,Good,*,*,*,*,*
*,*,45.5024,*,El_Nino,*,*,*,*,*,*
3.03568,164.618,144.464,*,*,Good,*,*,*,*,*
1.32943,*,*,*,*,Good,*,No,*,0.0658079,*
*,37.2703,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,Yes,*,*,0.0378497,*
*,316.885,*,*,*,Good,*,*,0.446665,*,*
*,*,*,62.5247,*,*,*,*,*,*,*
*,*,14.9753,*,*,*,*,*,4.58958,*,*
*,*,*,*,*,*,*,*,*,*,*
5.13596,*,*,193.507,*,*,*,No,*,1.39188,84.4193
*,*,*,*,*,*,Yes,*,*,*,*
*,*,*,*,Neutral,Good,*,*,4.26091,0.0512231,*
*,*,98.998,*,*,Damaged,*,*,*,0.565774,*
6.93779,*,*,*,Neutral,*,*,*,4.02402,*,*
1.09482,*,25.7009,*,*,*,No,*,*,0.663046,228.597
*,*,*,*,*,*,*,Yes,*,*,*
*,34.7363,*,116.974,*,*,*,No,*,*,*
*,*,31.1854,*,*,*,*,Yes,*,*,*
*,*,*,*,Neutral,*,*,*,*,0.899506,*
*,104.379,*,*,*,*,*,No,*,*,*
4.93693,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,Damaged,*,*,*,*,46.021
*,96.796,26.2202,*,*,Good,*,*,*,*,*
*,*,*,302.435,*,*,*,*,*,2.70274,*
*,*,*,*,*,*,*,No,*,*,*
*,*,*,*,*,Good,*,*,0.471974,0.187674,*
*,*,50.5679,*,*,*,*,*,2.94777,*,116.35
*,*,*,59.1468,*,*,*,*,*,*,*
*,*,*,161.098,*,*,No,*,*,8.03684,292.313
*,*,19.1793,*,*,*,*,No,*,0.292853,75.0231
*,46.8244,*,*,*,Dead,No,*,*,*,*
*,*,*,*,*,*,Yes,No,*,3.11104,*
*,24.2881,*,*,*,*,*,*,*,*,*
6.66357,*,*,*,*,Good,*,*,4.9082,1.84363,*
*,38.5742,*,*,Neutral,*,*,*,*,*,*
6.48069,70.8908,30.585,*,*,*,*,*,4.82406,0.573206,63.407
*,*,*,*,*,*,*,*,*,0.374979,*
*,*,*,100.966,*,*,*,*,0.138435,*,98.4402
*,*,*,*,*,*,*,*,*,0.705233,*
*,*,*,*,*,Damaged,No,*,*,*,*
*,399.141,*,89.0108,*,*,*,*,3.02012,3.31303,*
*,*,27.1514,123.615,La_Nina,*,*,*,*,*,387.568
*,*,0.798569,*,*,*,*,No,*,*,*
*,144.73,*,*,*,*,*,*,3.31165,*,*
*,*,170.698,*,Neutral,*,No,No,*,8.26583,*
*,*,*,*,*,*,*,*,3.15269,9.59585,*
*,244.502,*,*,*,*,*,*,*,*,*
*,*,*,212.334,*,*,Yes,Yes,3.53339,*,*
7.95053,*,127.555,*,*,Good,*,*,*,*,*
8.8652,*,*,*,El_Nino,*,*,*,2.81709,*,*
*,*,163.602,112.55,*,*,*,*,*,*,*
6.18971,*,23.278,*,*,*,*,*,*,*,*
0.969031,*,*,*,*,*,*,*,*,*,*
*,356.298,*,*,*,*,*,*,3.20777,*,379.187
*,18.6618,*,*,*,*,No,*,*,*,*
*,*,*,*,*,Good,*,No,1.93281,*,274.562
*,203.861,*,186.597,*,*,No,*,*,*,269.182
*,*,*,*,*,*,*,*,*,*,81.575
*,63.5333,*,*,*,*,*,*,*,*,*
*,*,*,*,*,Good,*,*,*,*,13.4203
*,375.653,98.5787,*,*,Good,*,No,*,*,*
0.261511,*,*,*,El_Nino,*,*,*,*,*,*
1.29235,*,*,*,*,*,*,*,*,*,*
*,261.779,*,*,Neutral,*,*,*,*,*,*
*,*,25.9147,*,El_Nino,*,*,*,*,*,*
*,*,*,92.726,*,Damaged,*,*,*,*,*
*,55.4123,*,181.572,Neutral,*,*,*,*,*,*
*,*,*,*,*,Good,No,*,*,*,*
1.25177,*,12.7374,*,*,*,*,*,*,*,*
*,*,*,*,*,*,No,*,*,*,*
*,*,*,*,*,*,*,*,4.40787,*,*
*,*,*,384.662,*,Good,*,*,*,*,*
0.905634,*,18.4781,*,*,*,Yes,*,*,*,56.2945
8.9057,*,*,*,La_Nina,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,2.23731,*,16.6149
*,*,*,27.5474,El_Nino,*,Yes,No,*,*,*
*,*,31.0493,*,*,*,*,*,*,*,*
*,*,*,*,*,Damaged,*,Yes,*,*,*
*,*,*,*,El_Nino,*,Yes,*,*,*,*
*,*,*,181.908,*,*,*,*,*,*,*
4.15473,*,*,*,*,*,*,*,*,*,*
3.45662,*,*,*,*,*,*,*,*,*,25.2851
*,*,*,*,*,*,*,*,*,*,*
*,87.6052,*,*,El_Nino,*,*,*,*,*,*
*,68.6189,*,156.543,*,*,*,*,*,0.538872,*
*,*,*,*,*,*,*,*,*,*,*
*,353.962,*,*,*,*,No,No,*,*,*
*,*,*,*,Neutral,*,No,*,*,1.4729,35.3932
*,*,45.9109,*,*,*,Yes,*,2.04282,*,*
*,*,*,172.103,*,*,*,*,*,*,*
8.27108,*,62.3756,*,*,*,*,*,*,*,*
*,*,*,144.9,*,Good,*,*,2.44684,*,32.7689
*,*,*,196.065,Neutral,*,*,*,*,*,*
2.95284,*,*,120.84,*,*,*,*,*,*,10.295
1.60255,*,*,32.3318,*,Good,*,No,*,*,*
*,*,*,*,Neutral,*,*,*,*,*,107.907
*,*,*,*,*,*,*,*,*,*,*
0.255395,*,22.4063,*,*,*,Yes,No,*,*,*
*,*,*,*,Neutral,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,251.405
*,*,*,*,*,*,*,No,*,*,*
1.13248,*,*,*,*,*,*,*,2.01743,*,154.274
*,*,*,192.518,Neutral,*,*,*,*,6.92791,*
*,245.23,*,*,*,*,*,*,*,*,*
*,54.2515,*,*,*,*,*,*,*,*,*
9.1499,*,*,*,*,*,No,No,*,*,*
0.714859,*,*,139.658,*,*,*,*,*,*,*
1.64951,*,31.2297,*,*,Damaged,*,*,*,0.308044,*
*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,No,*,1.77353,*
7.96376,*,34.192,*,*,*,*,*,*,*,*
*,*,*,*,*,Good,*,No,*,*,*
